ort-name,idn,location,lat,lon
Berzona,968526721,"Berzona, Loco, Onsernone, Circolo d'Onsernone, Distretto di Locarno, Ticino, 6661, Schweiz/Suisse/Svizzera/Svizra",46.2017029,8.6580917
Basel,040046176,"Basel, Basel-Stadt, Schweiz/Suisse/Svizzera/Svizra",47.5581077,7.5878261
Olten,040435067,"Olten, Bezirk Olten, Amtei Olten-Gösgen, Solothurn, Schweiz/Suisse/Svizzera/Svizra",47.3496571,7.903787
Brugg,040902110,"Brugg, Bezirk Brugg, Aargau, Schweiz/Suisse/Svizzera/Svizra",47.4824633,8.2085662
Berlin,040057283,"Berlin, 10117, Deutschland",52.5170365,13.3888599
Harmondsworth,043008542,"Harmondsworth, London Borough of Hillingdon, London, Longford, Greater London, England, UB7 0AF, United Kingdom",51.4889317,-0.4755435
München,041277937,"München, Bayern, Deutschland",48.1371079,11.5753822
Frankfurt am Main,040181189,"Frankfurt am Main, Hessen, Deutschland",50.1106444,8.6820917
Leipzig,040352064,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329
Dresden,040129950,"Dresden, Sachsen, Deutschland",51.0493286,13.7381437
Stuttgart,040582825,"Stuttgart, Baden-Württemberg, Deutschland",48.7784485,9.1800132
London,040743357,"London, Greater London, England, United Kingdom",51.5073219,-0.1276474
Bielefeld,040065103,"Bielefeld, Nordrhein-Westfalen, Deutschland",52.0191005,8.531007
Erlenbach,04015310X,"Erlenbach, Zürich",47.305685967641104, 8.597692917387134
Zürich,04068038X,"Zürich, Bezirk Zürich, Zürich, Schweiz/Suisse/Svizzera/Svizra",47.3744489,8.5410422
Cannstatt,040698408,"Bad Cannstatt, Stuttgart, Baden-Württemberg, Deutschland",48.8048828,9.2146797
Tübingen,040611477,"Tübingen, Landkreis Tübingen, Baden-Württemberg, Deutschland",48.5236164,9.0535531
Freiburg im Üechtland,040714446,"Fribourg - Freiburg, District de la Sarine, Fribourg/Freiburg, Schweiz/Suisse/Svizzera/Svizra",46.8055656,7.1612669
Hamburg,040231186,"Hamburg, Deutschland",53.550341,10.000654
Lausanne,040347508,"Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra",46.5218269,6.6327025
Heidelberg,040239969,"Heidelberg, Baden-Württemberg, Deutschland",49.4093582,8.694724
Konstanz,040322157,"Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Baden-Württemberg, Deutschland",47.659216,9.1750718
Liestal,040996387,"Liestal, Bezirk Liestal, Basel-Landschaft, 4410, Schweiz/Suisse/Svizzera/Svizra",47.4839723,7.7347783
Ravensburg,040486346,"Ravensburg, Verwaltungsverband Mittleres Schussental, Landkreis Ravensburg, Baden-Württemberg, Deutschland",47.7811014,9.612468
Wiesbaden,040660435,"Wiesbaden, Hessen, Deutschland",50.0820384,8.2416556
Einsiedeln,040139328,"Einsiedeln, Schwyz, 8840, Schweiz/Suisse/Svizzera/Svizra",47.1286095,8.7500299
Sankt Gallen,04051594X,"St. Gallen, Wahlkreis St. Gallen, Sankt Gallen, Schweiz/Suisse/Svizzera/Svizra",47.4250593,9.3765878
Drayton,970980736,"Drayton, Pembina County, North Dakota, United States",48.5711277,-97.1780148
Luzern,040367339,"Luzern, Schweiz/Suisse/Svizzera/Svizra",47.0505452,8.3054682
Bern,040057623,"Bern, Verwaltungskreis Bern-Mittelland, Verwaltungsregion Bern-Mittelland, Bern/Berne, Schweiz/Suisse/Svizzera/Svizra",46.9482713,7.4514512
Bern-Bümpliz,941897338,"Bern-Bümpliz, A12, Holligen, Stadtteil III, Bern, Verwaltungskreis Bern-Mittelland, Verwaltungsregion Bern-Mittelland, Bern/Berne, 3018, Schweiz/Suisse/Svizzera/Svizra",46.9393277,7.4043817
Celle,040096572,"Celle, Landkreis Celle, Niedersachsen, Deutschland",52.624056,10.081052
Amsterdam,040017834,"Amsterdam, Noord-Holland, Nederland",52.3727598,4.8936041
Bradford,040805077,"Bradford, West Yorkshire, Yorkshire and the Humber, England, United Kingdom",53.7944229,-1.7519186
Stockholm,040576485,"Stockholm, Stockholms kommun, Stockholms län, 111 29, Sverige",59.3251172,18.0710935
Schwabach,040536653,"Schwabach, Bayern, 91126, Deutschland",49.3295535,11.0195132
Riehen,040499790,"Riehen, Basel-Stadt, 4125, Schweiz/Suisse/Svizzera/Svizra",47.5816927,7.6479737
Gümlingen,977265463,,46.93405012884073, 7.505125413448539
Wien,040660095,"Wien, Österreich",48.2083537,16.3725042
Hannover,040233499,"Hannover, Region Hannover, Niedersachsen, Deutschland",52.3744779,9.7385532
Warschau,040790487,"Warszawa, województwo mazowieckie, Polska",52.2319581,21.0067249
Leipzig-Paunsdorf,043244793,"Leipzig-Paunsdorf, Theodor-Heuss-Straße, KGV ""Reichsbahn Kleingärtner Engelsdorf / Paunsdorf"" e.V., Sellerhausen-Stünz, Ost, Leipzig, Sachsen, 04328, Deutschland",51.3441994,12.4438271
Serrig,96539106X,"Serrig, Saarburg-Kell, Landkreis Trier-Saarburg, Rheinland-Pfalz, 54455, Deutschland",49.5748582,6.5750795
